id,item,correct,filename1,filename2,discrimination,difficulty,guessing,inattention,target_file,probe_file,merged_file,duration_silence,duration_target,duration_probe,duration_merged
1,S001,diff,"pid002_65,64,53_dynmod_perf.wav","pid002_65,62,53_dynmod_perf.wav",52.7563556983933,-0.90481073719983,0.2501858293444912,1,Task_0001_target.wav,Task_0001_probe.wav,Task_0001_merged.wav,5.0,3.28,3.309,11.589
2,S003,diff,"pid004_66,65,78_dynmod_perf.wav","pid004_66,64,78_dynmod_perf.wav",3.576886179324148,-0.5509534905080764,1.17724736761969E-05,1,Task_0002_target.wav,Task_0002_probe.wav,Task_0002_merged.wav,5.0,3.013,3.071,11.084
3,S005,diff,"pid006_57,56,65_dynmod_perf.wav","pid006_57,55,65_dynmod_perf.wav",33.31252113249153,-0.799909034280516,8.23704029847038E-06,1,Task_0003_target.wav,Task_0003_probe.wav,Task_0003_merged.wav,5.0,3.175,3.175,11.351
4,S007,diff,"pid010_66,56,54_dynmod_perf.wav","pid010_66,58,54_dynmod_perf.wav",42.90612501199965,-0.4359732580034587,6.166660016124978E-06,1,Task_0004_target.wav,Task_0004_probe.wav,Task_0004_merged.wav,5.0,3.239,3.257,11.496
5,S009,diff,"pid012_67,57,54_dynmod_perf.wav","pid012_67,55,54_dynmod_perf.wav",59.8028075610906,-0.106738109437292,6.214761780669358E-06,1,Task_0005_target.wav,Task_0005_probe.wav,Task_0005_merged.wav,5.0,3.094,3.315,11.409
6,S011,diff,"pid008_59,49,58_dynmod_perf.wav","pid008_59,48,58_dynmod_perf.wav",-8.888449149810048,-1.836633955298004,0.5000006427036267,1,Task_0006_target.wav,Task_0006_probe.wav,Task_0006_merged.wav,5.0,3.291,3.32,11.612
7,S017,diff,"pid021_67,65,54_dynmod_perf.wav","pid021_67,63,54_dynmod_perf.wav",1.618658428708503,-0.703657884691569,4.945731803574876E-05,1,Task_0007_target.wav,Task_0007_probe.wav,Task_0007_merged.wav,5.0,3.013,3.274,11.287
8,S021,diff,"pid026_60,58,65_dynmod_perf.wav","pid026_60,57,65_dynmod_perf.wav",23.37523186699087,-2.153780212680225,1.656246012666131E-05,1,Task_0008_target.wav,Task_0008_probe.wav,Task_0008_merged.wav,5.0,3.158,3.175,11.333
9,S023,diff,"pid030_57,54,49_dynmod_perf.wav","pid030_57,53,49_dynmod_perf.wav",36.50950818858673,-0.8609922501283154,6.52679570105571E-06,1,Task_0009_target.wav,Task_0009_probe.wav,Task_0009_merged.wav,5.0,3.471,3.384,11.856
10,S025,diff,"pid031_64,61,56_dynmod_perf.wav","pid031_64,59,56_dynmod_perf.wav",17.94166741553542,-2.455225697145343,3.287912620088611E-05,1,Task_0010_target.wav,Task_0010_probe.wav,Task_0010_merged.wav,5.0,3.175,3.164,11.339
